模型,参数组,主题编号,主题名称,专利数量,专利占比,TOP5主题词,主题关键词,代表专利
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",0,新能源汽车 / 电池 / 电机,251,0.0254,新能源汽车、电池、电机、涉及新能源、散热,新能源汽车、电池、电机、涉及新能源、散热、弹簧、限位、总成、底板、线束,一种可用于新能源汽车的润滑脂组合物及其制备方法；域控制电池管理系统；一种适用于严寒酷暑环境的新能源厢式移动应急充电车
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",1,数据 / 联网 / 终端,1414,0.1431,数据、联网、终端、实时、模型,数据、联网、终端、实时、模型、服务器、网络、用户、状态、信号,基于人工智能的流体输送系统精确计量方法及计量装置；带私有协议的数据处理取证的方法及装置；一种基于无人机信息终端的可视化数字孪生高端装备系统
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",2,光伏 / 太阳能 / 支架,504,0.051,光伏、太阳能、支架、电站、边框,光伏、太阳能、支架、电站、边框、电池、发电系统、逆变器、电能、角度,一种胶膜平整机构及光伏组件生产线；水面光伏发电系统电气性能及环境场的监测装置；一种带有防尘接口结构的光伏并网逆变器
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",3,图像 / 视觉 / 数据,482,0.0488,检测装置、图像、检测设备、视觉、数据,检测装置、图像、检测设备、视觉、数据、传感器、检测系统、检测平台、进行检测、所述检测,基于物联网的太阳能LED交通信号灯及其智能联动系统；一种带自发电的输液管气泡检测装置；一种多功能食品检测装置
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",4,环保 / 水资源 / 水箱,880,0.0891,节能、环保、水资源、水箱、水泵,节能、环保、水资源、水箱、水泵、管道、效果、水管、清洗装置、箱体,一种水电站高压输电线路驱鸟保护装置；一种废水循环利用的自动洗车装置；一种基于开放空间大气污染治理装置
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",5,储能 / 电路 / 电源,421,0.0426,储能、电路、电源、电压、直流,储能、电路、电源、电压、直流、功率、电网、供电、开关、输出,电子厂房电源保障系统实施方法；绝缘子R销复位装置；电力电子变压器的两级直流母线协调控制方法、装置
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",6,电机 / 底座 / 齿轮,1523,0.1541,电机、底座、齿轮、螺纹、弹簧,电机、底座、齿轮、螺纹、弹簧、转轴、限位、转动连接、内壁、滑槽,一种机械制造用冲压车床；一种玻璃胶生产用高速分散装置；一种结构稳定的和面机
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",7,支架 / 效率 / 底座,2565,0.2596,支架、效率、位于、底座、方向,支架、效率、位于、底座、方向、机架、多个、上方、水平、限位,一种膜纸自动化印刷技术生产线结构；一种用于生产带孔木底托的工装模具；一种胶带生产用胶带粘度测试装置
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",8,存储介质 / 区块 / 目标,872,0.0883,存储介质、区块、目标、信息、电子设备,存储介质、区块、目标、信息、电子设备、用户、模型、节点、申请、人工智能,基于区块链的充电权分配方法以及充电权交易方法；一种云会员信息管理系统、方法和存储平台；一种图书荐购方法、装置、设备及存储介质
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",9,石墨 / 材料 / 原料,969,0.0981,石墨、材料、原料、工艺、复合,石墨、材料、原料、工艺、复合、纳米、性能、采用、溶液、金属,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种复合网版的制作方法
TF-IDF + KMeans,"K=20, max_features=5000, max_df=0.85",0,信号 / 传感器 / 控制器,681,0.0689,信号、传感器、控制器、模拟、信息,信号、传感器、控制器、模拟、信息、天线、模型、试验、状态、控制系统,一种水电站高压输电线路驱鸟保护装置；一种胶带生产用胶带粘度测试装置；一种基于智能仿真的牵引站运维管理系统
