查重字段,重复次数,文本示例
专利名称,3,光伏组件
专利名称,2,核心系统支持外围系统国密升级的报文处理方法及服务器
专利名称,2,基于人工智能的高压电缆局放检测与缺陷诊断系统
专利名称,2,一种中频炉远程监控系统
专利名称,2,一种分体式砂芯成型的新能源汽车副车架制备方法
专利名称,2,一种节能式玻璃采光顶
专利名称,2,一种石墨烯抑菌羽绒服面料的制备方法
专利名称,2,一种具有联动式钢板淬火装置
专利名称,2,工业互联网网关结构
专利名称,2,一种用于新能源汽车零部件加工的全自动工作台
专利名称,2,一种预灌封注射器生产车间用降尘设备
专利名称,2,一种高导热的加热非燃烧薄荷醇缓释材料的制备方法
专利名称,2,可实现对大数据中心进行实时自动巡检的系统及其方法
专利名称,2,一种智能制造扫地机器人集尘装置快速推出机构
专利名称,2,一种工业互联网平台发展指数监测方法及系统
专利名称,2,一种便于更换电池包的电动汽车电池安全防盗装置
专利名称,2,一种无线物联网协议交换机架构、实现方法
专利名称,2,一种永磁同步电机分段斜极转子结构
专利名称,2,一种特征信息的确定方法、装置、设备及存储介质
专利名称,2,一种对硅钢片横剪线片料进行穿针叠柱与输送的装置
专利名称,2,打车位智慧停车服务平台
专利名称,2,一种基于物联网使用时的大数据存储设备
专利名称,2,一种漂浮式渔光互补系统
专利名称,2,一种可用于储能系统控制策略的在线测试方法
专利名称,2,应用于风电场的风光储直流侧耦合配置方法
专利名称,2,一种漂浮式光伏发电平台的锚固系统及其施工方法
专利名称,2,一种植物染料一浴法染绿色的方法
专利名称,2,一种CD-RIM建筑垃圾资源化信息管理方法及系统
专利名称,2,一种分布式光伏储能选点布局优化方法
专利名称,2,一种工业物联网系统、海工标识数据存储及查询方法
专利摘要,2,本实用新型提供一种对硅钢片横剪线片料进行穿针叠柱与输送的装置，包括输送装置、穿针定位装置、纵向移动平台和转运装置，所述的输送装置设在纵向移动平台上方，所述的穿针定位装置位于输送装置底部，穿针定位装置固定在纵向移动平台上，所述的转运装置布置在输送装置的输出侧；所述的转运装置通过对接机构与输送装置对接。本实用新型能够完成硅钢片的穿针叠柱，并将此硅钢片柱整体输送到指定工位。本实用新型采用输送装置和穿针定位装置的上下分层布置结构，首先完成了硅钢片的穿针定位，然后完成硅钢片柱的整体输送，整个工艺方法中不使用吊运设备，提高了生产效率。
专利摘要,2,本申请提供一种农药中间体生产用废气净化装置，包括过滤器，所述过滤器的两侧分别连接有左输送管和右输送管，所述左输送管和所述右输送管靠近过滤器的一端均设置有换流机构，所述换流机构包括滑动对接管和固定对接管，所述过滤器的内部设置有可抽拉的过滤框，所述过滤框与所述过滤器的表面之间设置有固定机构。工作人员可通过换流机构对装置整体通气量的大小进行切换以及调节，以方便改变装置整体的净化速率，并且工作人员可转动固定机构来对过滤框进行解锁，之后将其拉出进行清理，完成后再将其推入固定即可，从而达到方便调节通气量、改变净化速率以及清理过滤器的目的。
专利摘要,2,本实用新型公开了一种千层蛋糕工作台，包括一个支架、设置于支架底的滚轮、设置于支架上的工作台面，所述工作台面上相对的设置有两条直线导轨，所述两条直线导轨末端的工作台面上设置有弧形过渡导轨；在所述导轨上设置有至少一个蛋糕转运平台，所述蛋糕转运平台包括底座、设置于底座底部的导向轮、连接于所述底座上部的蛋糕加工台；所述底座上的一个导向轮设置于所述导轨内并能够沿所述导轨运动，运动至所述弧形过渡导轨处时能够切换导向轮，使得所述蛋糕转运平台能够沿整个导轨运动。本实用新型的工作台结构设计合理，能够有效提高生产效率，实用性强。
专利摘要,2,本实用新型涉及一种节能环保蒸汽智能洗车机，包括支撑平台、设置在支撑平台顶面的清洗装置、与所述清洗装置连通的供水供汽装置以及设置在支撑平台上的循环装置，所述供水供汽装置与循环装置相连通，支撑平台可对清洗装置进行支撑，清洗装置可对汽车进行清洗，供水供汽装置可为清洗装置提供蒸汽和水，循环装置可将清洗装置的水循环利用。
专利摘要,2,本发明公开了一种CD‑RIM建筑垃圾资源化信息管理方法及系统，属于环保信息处理技术领域，包括申报及审批系统、信息识别及收集系统、运输系统、资源化处理系统、产品再生利用系统和移动监管系统。申报及审批系统生成的电子联单发送到信息识别及收集系统、运输系统和资源化处理系统；信息识别及收集系统根据收集的数据对所述电子联单进行更新，并发送到运输系统和资源化处理系统，将建筑垃圾分类信息发送到再生产品利用系统。通过平台实现对建筑垃圾的信息共享、统计分析、过程监管，促进建筑垃圾产、运、消、用的综合管理，规范建设单位、运输企业、消纳企业的市场行为，建构建筑垃圾智慧管理大数据，最终形成全链条管理一体化解决方案。
专利摘要,2,本实用新型公开了一种光伏电站组件爬梯，包括爬梯，爬梯一侧设有滑槽，滑槽内固定设有齿条，滑槽滑动卡接安装块，安装块上设有齿轮，安装块的下端转动连接平台的一端，平台的远离安装块一端铰接第二连接杆一端，第二连接杆的另一端铰接第一连接杆的一端，第一连接杆自由端铰接安装块的上端，安装块上端固定连接钢丝绳一端，钢丝绳自由端滑动接触定滑轮且固定连接转盘，转盘转动设在卡座上，卡座固定连接爬梯支撑腿一侧，便于平台在爬梯上上下移动，使得平台能够停放在需要工作的高度位置，同时便于平台的固定，平台的收折能够使爬梯正常使用不受限制，减少爬梯的占用空间，当钢丝绳损坏时，能够避免平台下坠，保障工作人员的人身安全。
