模型,参数组,主题编号,主题名称,专利数量,专利占比,TOP5主题词,主题关键词,代表专利
TF-IDF + KMeans,"K=8, max_features=5000, max_df=0.85",0,存储介质 / 目标 / 电子设备,725,0.0725,存储介质、目标、电子设备、数据、模型,存储介质、目标、电子设备、数据、模型、人工智能、用户、图像、申请、特征,一种图书荐购方法、装置、设备及存储介质；模型训练方法、数据处理方法、装置、电子设备及介质；5G专网投诉的识别方法、装置、设备、系统及存储介质
TF-IDF + KMeans,"K=8, max_features=5000, max_df=0.85",1,光伏 / 太阳能 / 支架,520,0.052,光伏、太阳能、支架、电站、边框,光伏、太阳能、支架、电站、边框、电池、发电系统、电能、逆变器、角度,一种胶膜平整机构及光伏组件生产线；水面光伏发电系统电气性能及环境场的监测装置；一种带有防尘接口结构的光伏并网逆变器
TF-IDF + KMeans,"K=8, max_features=5000, max_df=0.85",2,效率 / 效果 / 支架,3527,0.3527,效率、位于、效果、支架、方向,效率、位于、效果、支架、方向、机架、降低、上方、多个、下方,一种水电站高压输电线路驱鸟保护装置；一种膜纸自动化印刷技术生产线结构；一种用于生产带孔木底托的工装模具
TF-IDF + KMeans,"K=8, max_features=5000, max_df=0.85",3,电机 / 底座 / 限位,1878,0.1878,电机、底座、限位、螺纹、齿轮,电机、底座、限位、螺纹、齿轮、弹簧、转轴、滑块、转动连接、滑槽,一种废水循环利用的自动洗车装置；一种机械制造用冲压车床；一种脐带血干细胞储存系统及其储存方法
TF-IDF + KMeans,"K=8, max_features=5000, max_df=0.85",4,储能 / 电路 / 电源,450,0.045,储能、电路、电源、电压、直流,储能、电路、电源、电压、直流、功率、电网、供电、开关、输出,电子厂房电源保障系统实施方法；绝缘子R销复位装置；电力电子变压器的两级直流母线协调控制方法、装置
TF-IDF + KMeans,"K=8, max_features=5000, max_df=0.85",5,数据 / 联网 / 区块,1663,0.1663,数据、联网、区块、终端、用户,数据、联网、区块、终端、用户、服务器、实时、网络、接收、节点,基于人工智能的流体输送系统精确计量方法及计量装置；基于区块链的充电权分配方法以及充电权交易方法；基于物联网的太阳能LED交通信号灯及其智能联动系统
TF-IDF + KMeans,"K=8, max_features=5000, max_df=0.85",6,汽车 / 新能源 / 电池,273,0.0273,汽车、新能源、电池、电机、散热,汽车、新能源、电池、电机、散热、弹簧、限位、总成、底板、零部件,一种可用于新能源汽车的润滑脂组合物及其制备方法；域控制电池管理系统；一种适用于严寒酷暑环境的新能源厢式移动应急充电车
TF-IDF + KMeans,"K=8, max_features=5000, max_df=0.85",7,石墨 / 材料 / 原料,964,0.0964,石墨、材料、原料、工艺、复合,石墨、材料、原料、工艺、复合、纳米、性能、采用、溶液、及其应用,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种复合网版的制作方法
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",0,新能源汽车 / 电池 / 涉及新能源,261,0.0261,新能源汽车、电池、涉及新能源、电机、散热,新能源汽车、电池、涉及新能源、电机、散热、弹簧、限位、总成、底板、零部件,一种可用于新能源汽车的润滑脂组合物及其制备方法；域控制电池管理系统；一种适用于严寒酷暑环境的新能源厢式移动应急充电车
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",1,区块 / 节点 / 数据,238,0.0238,区块、节点、数据、交易、合约,区块、节点、数据、交易、合约、加密、用户、网络、共识、验证,基于区块链的充电权分配方法以及充电权交易方法；一种基于车路协同的区块链拜占庭容错方法及系统；基于区块链技术的大数据共享并存证的方法
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",2,电机 / 环保 / 箱体,1476,0.1476,电机、节能、环保、箱体、水资源,电机、节能、环保、箱体、水资源、水箱、齿轮、效果、食品、壳体,一种废水循环利用的自动洗车装置；一种玻璃胶生产用高速分散装置；一种基于开放空间大气污染治理装置
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",3,储能 / 电路 / 电源,413,0.0413,储能、电路、电源、电压、直流,储能、电路、电源、电压、直流、功率、电网、供电、开关、输出,电子厂房电源保障系统实施方法；绝缘子R销复位装置；电力电子变压器的两级直流母线协调控制方法、装置
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",4,石墨 / 材料 / 工艺,1063,0.1063,石墨、材料、工艺、原料、复合,石墨、材料、工艺、原料、复合、纳米、性能、采用、溶液、金属,一种促进围绝经期女性补钙的中药组方；一种防止土地盐碱化的肥料及其制备方法；一种复合网版的制作方法
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",5,底座 / 支架 / 限位,3671,0.3671,底座、支架、限位、效率、位于,底座、支架、限位、效率、位于、方向、底板、弹簧、上方、螺纹,一种水电站高压输电线路驱鸟保护装置；一种膜纸自动化印刷技术生产线结构；一种用于生产带孔木底托的工装模具
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",6,数据 / 联网 / 终端,1344,0.1344,数据、联网、终端、用户、服务器,数据、联网、终端、用户、服务器、实时、接收、网络、信号、智慧,基于物联网的太阳能LED交通信号灯及其智能联动系统；带私有协议的数据处理取证的方法及装置；一种云会员信息管理系统、方法和存储平台
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",7,存储介质 / 目标 / 电子设备,525,0.0525,存储介质、目标、电子设备、信息、用户,存储介质、目标、电子设备、信息、用户、人工智能、申请、预设、计算机设备、文本,一种图书荐购方法、装置、设备及存储介质；5G专网投诉的识别方法、装置、设备、系统及存储介质；装载信息处理方法、装置、电子设备及存储介质
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",8,光伏 / 太阳能 / 支架,516,0.0516,光伏、太阳能、支架、电站、电池,光伏、太阳能、支架、电站、电池、边框、发电系统、电能、逆变器、角度,一种胶膜平整机构及光伏组件生产线；水面光伏发电系统电气性能及环境场的监测装置；一种带有防尘接口结构的光伏并网逆变器
TF-IDF + KMeans,"K=10, max_features=5000, max_df=0.85",9,模型 / 数据 / 图像,493,0.0493,模型、数据、图像、算法、人工智能,模型、数据、图像、算法、人工智能、目标、建立、构建、特征、参数,基于人工智能的流体输送系统精确计量方法及计量装置；一种棉花打顶无人机的智能控制系统及方法；异构可信计算/可信奖惩模型扩展
